G_ID,SCIENTIFIC_NAME,ACRONYM,AUTHORITY,COFC,SYN,COMMON_NAME,FAMILY,FN,WET,FORM,HABIT,SHADE,USDA_ID,OH_TORE,TYPE,OH_STATUS,EMP,MW,NCNE,NOTES
1586,Lechea pulchella,LECPUL,Raf.,7,syn,LEGGETT'S PINWEED,Cistaceae,,UPL,forb,PE,full,LEPU4,T,DI,native,,,,
1587,Lechea racemulosa,LECRAC,Michx.,5,,RACEMED PINWEED,Cistaceae,,UPL,forb,PE,full,LERA,,DI,native,,,,
1588,Lechea sp.,LECHEA,L.,,,PINWEED,Cistaceae,,UPL,forb,PE,full,LECHE,,DI,,,,,
1589,Lechea tenuifolia,LECTEN,Michx.,8,,NARROW-LEAVED PINWEED,Cistaceae,,UPL,forb,PE,full,LETE,P,DI,native,,,,
1590,Ledum groenlandicum,LEDGRO,Oeder,10,,LABRADOR-TEA,Ericaceae,,OBL,shrub,W,full,LEGR,E,DI,native,OBL,OBL,OBL,
1591,Leersia lenticularis,LEELEN,Michx.,9,,CATCHFLY GRASS,Poaceae,,OBL,grass,PE,partial,LELE2,E,MO,native,OBL,OBL,OBL,
1592,Leersia oryzoides,LEEORY,(L.) Sw.,1,,RICE CUT GRASS,Poaceae,,OBL,grass,PE,full,LEOR,,MO,native,OBL,OBL,OBL,
1593,Leersia sp.,LEERSI,Sw.,,,CUT GRASS,Poaceae,,ND,grass,PE,ND,LEERS,,MO,,,,,
1594,Leersia virginica,LEEVIR,Willd.,4,,WHITE GRASS,Poaceae,,FACW,grass,PE,shade,LEVI2,,MO,native,FACW,FACW,FACW,
1595,Lemna minor,LEMMIN,L.,3,syn,COMMON DUCKWEED,Lemnaceae,288,OBL,forb,AN,full,LEMI3,,MO,native,OBL,OBL,OBL,
1596,Lemna sp.,LEMNA,L.,,,DUCKWEED,Lemnaceae,,OBL,forb,AN,full,LEMNA,,MO,,,,,
1597,Lemna trisulca,LEMTRI,L.,6,,STAR DUCKWEED,Lemnaceae,,OBL,forb,AN,full,LETR,,MO,native,OBL,OBL,OBL,
1598,Lemna valdiviana,LEMVAL,Phil.,8,,PALE DUCKWEED,Lemnaceae,289,OBL,forb,AN,full,LEVA,,MO,native,OBL,OBL,OBL,
